Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation
2021,MA,Massachusetts,Essex,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,13.6,,,11.3,16.0,807074,25009,HLTHSTAT,GHLTH,CrdPrv,General Health,POINT (-70.8649085 42.6427082)
2020,MA,Massachusetts,Berkshire,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,10.4,,,6.2,15.2,128657,25003,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-73.2179276 42.371493)
2021,MA,Massachusetts,Worcester,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,6.7,,,5.6,8.0,862029,25027,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-71.940282 42.3116934)
2021,MA,Massachusetts,Barnstable,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,17.7,,,14.5,21.5,232411,25001,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-70.1648227 41.7061233)
2020,MA,Massachusetts,Franklin,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Age-adjusted prevalence,76.0,,,71.2,79.9,71015,25011,PREVENT,MAMMOUSE,AgeAdjPrv,Mammography,POINT (-72.5917921 42.5845038)
2021,MA,Massachusetts,Hampden,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Age-adjusted prevalence,4.1,,,3.5,4.7,462718,25013,DISABLT,SELFCARE,AgeAdjPrv,Self-care Disability,POINT (-72.6356476 42.1361975)
2020,MA,Massachusetts,Plymouth,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,86.6,,,84.6,88.5,533003,25023,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening,POINT (-70.7419417 41.9871959)
2021,MA,Massachusetts,Hampden,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,7.7,,,6.0,9.6,462718,25013,PREVENT,ACCESS2,CrdPrv,Health Insurance,POINT (-72.6356476 42.1361975)
2021,MA,Massachusetts,Suffolk,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Age-adjusted prevalence,3.8,,,3.3,4.3,771245,25025,DISABLT,SELFCARE,AgeAdjPrv,Self-care Disability,POINT (-71.018253 42.3385513)
2020,MA,Massachusetts,Worcester,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,82.1,,,79.7,84.4,862029,25027,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-71.940282 42.3116934)
2020,MA,Massachusetts,Essex,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,80.6,,,78.3,82.9,807074,25009,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-70.8649085 42.6427082)
2020,MA,Massachusetts,Barnstable,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,55.3,,,47.0,62.8,232411,25001,PREVENT,COREM,CrdPrv,Core preventive services for older men,POINT (-70.1648227 41.7061233)
2021,MA,Massachusetts,Franklin,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Age-adjusted prevalence,13.2,,,10.9,15.8,71015,25011,DISABLT,COGNITION,AgeAdjPrv,Cognitive Disability,POINT (-72.5917921 42.5845038)
2020,MA,Massachusetts,Worcester,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,9.9,,,6.1,14.3,862029,25027,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-71.940282 42.3116934)
2021,MA,Massachusetts,Norfolk,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Age-adjusted prevalence,31.6,,,28.2,35.1,724505,25021,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol,POINT (-71.1811102 42.1717377)
2021,MA,Massachusetts,Worcester,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,7.4,,,6.7,8.1,862029,25027,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),POINT (-71.940282 42.3116934)
2021,MA,Massachusetts,Essex,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,7.3,,,6.7,8.1,807074,25009,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),POINT (-70.8649085 42.6427082)
2021,MA,Massachusetts,Worcester,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,9.6,,,8.3,11.1,862029,25027,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-71.940282 42.3116934)
2021,MA,Massachusetts,Plymouth,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,20.0,,,16.2,24.0,533003,25023,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-70.7419417 41.9871959)
2021,MA,Massachusetts,Hampden,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Age-adjusted prevalence,16.8,,,14.4,19.6,462718,25013,HLTHSTAT,GHLTH,AgeAdjPrv,General Health,POINT (-72.6356476 42.1361975)
2021,MA,Massachusetts,Essex,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Age-adjusted prevalence,17.3,,,14.9,19.9,807074,25009,RISKBEH,BINGE,AgeAdjPrv,Binge Drinking,POINT (-70.8649085 42.6427082)
2021,MA,Massachusetts,Franklin,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,36.5,,,31.7,41.1,71015,25011,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol,POINT (-72.5917921 42.5845038)
2021,MA,Massachusetts,Middlesex,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Age-adjusted prevalence,55.7,,,51.8,59.7,1614742,25017,PREVENT,BPMED,AgeAdjPrv,Taking BP Medication,POINT (-71.3949161 42.4817182)
2020,MA,Massachusetts,Middlesex,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,46.5,,,39.9,52.6,1614742,25017,PREVENT,COREW,CrdPrv,Core preventive services for older women,POINT (-71.3949161 42.4817182)
2020,MA,Massachusetts,Nantucket,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,79.3,,,76.9,81.6,14491,25019,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-70.1021635 41.2933918)
2021,MA,Massachusetts,Suffolk,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,2.7,,,2.5,2.9,771245,25025,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,POINT (-71.018253 42.3385513)
2021,MA,Massachusetts,Hampshire,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,6.3,,,5.2,7.6,161572,25015,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-72.6636936 42.3394593)
2020,MA,Massachusetts,Berkshire,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,73.4,,,70.0,76.8,128657,25003,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-73.2179276 42.371493)
2021,MA,Massachusetts,Franklin,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,16.1,,,13.1,19.2,71015,25011,RISKBEH,BINGE,CrdPrv,Binge Drinking,POINT (-72.5917921 42.5845038)
2021,MA,Massachusetts,Hampshire,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,12.8,,,9.6,16.1,161572,25015,RISKBEH,CSMOKING,AgeAdjPrv,Current Smoking,POINT (-72.6636936 42.3394593)
2021,MA,Massachusetts,Plymouth,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,4.1,,,3.0,5.4,533003,25023,PREVENT,ACCESS2,CrdPrv,Health Insurance,POINT (-70.7419417 41.9871959)
2020,MA,Massachusetts,Hampden,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,68.3,,,65.3,71.1,462718,25013,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-72.6356476 42.1361975)
2021,MA,Massachusetts,Barnstable,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Age-adjusted prevalence,3.1,,,2.6,3.7,232411,25001,DISABLT,VISION,AgeAdjPrv,Vision Disability,POINT (-70.1648227 41.7061233)
2021,MA,Massachusetts,Hampshire,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,2.6,,,2.2,3.0,161572,25015,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-72.6636936 42.3394593)
2021,MA,Massachusetts,Hampshire,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,9.3,,,7.9,10.9,161572,25015,HLTHSTAT,PHLTH,AgeAdjPrv,Physical Health,POINT (-72.6636936 42.3394593)
2020,MA,Massachusetts,Hampden,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,84.0,,,82.0,85.9,462718,25013,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening,POINT (-72.6356476 42.1361975)
2021,MA,Massachusetts,Norfolk,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Age-adjusted prevalence,19.7,,,16.9,22.8,724505,25021,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,POINT (-71.1811102 42.1717377)
2021,MA,Massachusetts,Bristol,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Age-adjusted prevalence,3.4,,,2.9,4.0,580164,25005,DISABLT,SELFCARE,AgeAdjPrv,Self-care Disability,POINT (-71.088894 41.7485884)
2021,MA,Massachusetts,Nantucket,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,28.0,,,21.1,36.1,14491,25019,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-70.1021635 41.2933918)
2021,MA,Massachusetts,Nantucket,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,7.4,,,6.2,8.7,14491,25019,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,POINT (-70.1021635 41.2933918)
2021,MA,Massachusetts,Berkshire,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,13.9,,,11.5,16.8,128657,25003,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-73.2179276 42.371493)
2021,MA,Massachusetts,Worcester,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,20.6,,,17.3,24.1,862029,25027,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-71.940282 42.3116934)
2021,MA,Massachusetts,Nantucket,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,21.3,,,17.8,25.3,14491,25019,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-70.1021635 41.2933918)
2021,MA,Massachusetts,Franklin,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,8.8,,,7.9,9.9,71015,25011,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),POINT (-72.5917921 42.5845038)
2020,MA,Massachusetts,Dukes,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,75.2,,,72.0,78.5,21097,25007,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-70.7014995 41.3809696)
2021,MA,Massachusetts,Berkshire,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,75.8,,,71.5,79.6,128657,25003,PREVENT,CHECKUP,CrdPrv,Annual Checkup,POINT (-73.2179276 42.371493)
2021,MA,Massachusetts,Middlesex,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Age-adjusted prevalence,4.9,,,4.3,5.6,1614742,25017,DISABLT,HEARING,AgeAdjPrv,Hearing Disability,POINT (-71.3949161 42.4817182)
2021,MA,Massachusetts,Hampshire,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.6,,,6.0,7.3,161572,25015,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-72.6636936 42.3394593)
2021,MA,Massachusetts,Essex,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,16.0,,,13.9,18.3,807074,25009,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health,POINT (-70.8649085 42.6427082)
2021,MA,Massachusetts,Suffolk,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,71.4,,,67.7,74.7,771245,25025,PREVENT,CHECKUP,CrdPrv,Annual Checkup,POINT (-71.018253 42.3385513)
2020,MA,Massachusetts,Dukes,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,28.7,,,27.0,30.5,21097,25007,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-70.7014995 41.3809696)
2021,MA,Massachusetts,Hampden,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,27.1,,,23.1,31.2,462718,25013,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-72.6356476 42.1361975)
2021,MA,Massachusetts,Franklin,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Age-adjusted prevalence,6.0,,,4.7,7.3,71015,25011,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-72.5917921 42.5845038)
2021,MA,Massachusetts,Norfolk,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,11.2,,,9.2,13.4,724505,25021,HLTHSTAT,GHLTH,CrdPrv,General Health,POINT (-71.1811102 42.1717377)
2021,MA,Massachusetts,Barnstable,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Age-adjusted prevalence,56.6,,,51.7,61.5,232411,25001,PREVENT,BPMED,AgeAdjPrv,Taking BP Medication,POINT (-70.1648227 41.7061233)
2021,MA,Massachusetts,Franklin,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,14.1,,,11.5,16.9,71015,25011,HLTHSTAT,GHLTH,CrdPrv,General Health,POINT (-72.5917921 42.5845038)
2020,MA,Massachusetts,Nantucket,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,7.9,,,4.4,12.0,14491,25019,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-70.1021635 41.2933918)
2021,MA,Massachusetts,Suffolk,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,4.6,,,4.1,5.2,771245,25025,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-71.018253 42.3385513)
2021,MA,Massachusetts,Bristol,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,5.7,,,4.3,7.3,580164,25005,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-71.088894 41.7485884)
2020,MA,Massachusetts,Middlesex,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,28.0,,,26.8,29.4,1614742,25017,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-71.3949161 42.4817182)
2021,MA,Massachusetts,Plymouth,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Age-adjusted prevalence,29.9,,,26.5,33.6,533003,25023,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol,POINT (-70.7419417 41.9871959)
2021,MA,Massachusetts,Hampshire,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,5.2,,,4.5,6.0,161572,25015,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-72.6636936 42.3394593)
2021,MA,Massachusetts,Berkshire,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.5,,,5.8,7.1,128657,25003,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-73.2179276 42.371493)
2020,MA,Massachusetts,Worcester,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Age-adjusted prevalence,55.8,,,48.6,63.2,862029,25027,PREVENT,COREM,AgeAdjPrv,Core preventive services for older men,POINT (-71.940282 42.3116934)
2021,MA,Massachusetts,Barnstable,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,10.7,,,8.9,12.6,232411,25001,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-70.1648227 41.7061233)
2021,MA,Massachusetts,Nantucket,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Age-adjusted prevalence,5.2,,,4.5,6.0,14491,25019,DISABLT,HEARING,AgeAdjPrv,Hearing Disability,POINT (-70.1021635 41.2933918)
2020,MA,Massachusetts,Dukes,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Age-adjusted prevalence,52.9,,,43.9,61.1,21097,25007,PREVENT,COREM,AgeAdjPrv,Core preventive services for older men,POINT (-70.7014995 41.3809696)
2020,MA,Massachusetts,Nantucket,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,74.7,,,71.8,77.4,14491,25019,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-70.1021635 41.2933918)
2021,MA,Massachusetts,Bristol,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,6.4,,,5.5,7.4,580164,25005,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-71.088894 41.7485884)
2020,MA,Massachusetts,Dukes,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,30.1,,,28.3,31.9,21097,25007,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-70.7014995 41.3809696)
2021,MA,Massachusetts,Norfolk,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Age-adjusted prevalence,18.8,,,16.2,21.7,724505,25021,RISKBEH,BINGE,AgeAdjPrv,Binge Drinking,POINT (-71.1811102 42.1717377)
2020,MA,Massachusetts,Middlesex,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,75.2,,,71.9,78.0,1614742,25017,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-71.3949161 42.4817182)
2021,MA,Massachusetts,Essex,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Age-adjusted prevalence,31.4,,,28.2,34.6,807074,25009,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol,POINT (-70.8649085 42.6427082)
2021,MA,Massachusetts,Worcester,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,2.8,,,2.5,3.3,862029,25027,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-71.940282 42.3116934)
2021,MA,Massachusetts,Hampden,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,15.6,,,13.3,18.1,462718,25013,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-72.6356476 42.1361975)
2020,MA,Massachusetts,Worcester,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,84.6,,,82.4,86.7,862029,25027,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,POINT (-71.940282 42.3116934)
2021,MA,Massachusetts,Barnstable,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,28.4,,,23.4,34.0,232411,25001,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-70.1648227 41.7061233)
2020,MA,Massachusetts,Bristol,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,79.0,,,76.1,81.7,580164,25005,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-71.088894 41.7485884)
2021,MA,Massachusetts,Plymouth,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Age-adjusted prevalence,3.4,,,2.8,4.0,533003,25023,DISABLT,VISION,AgeAdjPrv,Vision Disability,POINT (-70.7419417 41.9871959)
2021,MA,Massachusetts,Worcester,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,9.5,,,8.1,11.0,862029,25027,HLTHSTAT,PHLTH,AgeAdjPrv,Physical Health,POINT (-71.940282 42.3116934)
2021,MA,Massachusetts,Plymouth,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,28.9,,,24.4,34.1,533003,25023,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-70.7419417 41.9871959)
2021,MA,Massachusetts,Middlesex,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Age-adjusted prevalence,87.9,,,85.7,89.8,1614742,25017,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening,POINT (-71.3949161 42.4817182)
2021,MA,Massachusetts,Barnstable,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,25.2,,,22.0,28.6,232411,25001,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-70.1648227 41.7061233)
2021,MA,Massachusetts,Norfolk,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,7.2,,,6.5,8.0,724505,25021,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),POINT (-71.1811102 42.1717377)
2021,MA,Massachusetts,Suffolk,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,13.9,,,11.8,16.2,771245,25025,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-71.018253 42.3385513)
2021,MA,Massachusetts,Worcester,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Age-adjusted prevalence,74.6,,,70.9,77.8,862029,25027,PREVENT,CHECKUP,AgeAdjPrv,Annual Checkup,POINT (-71.940282 42.3116934)
2021,MA,Massachusetts,Plymouth,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Age-adjusted prevalence,21.5,,,18.4,25.0,533003,25023,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,POINT (-70.7419417 41.9871959)
2021,MA,Massachusetts,Nantucket,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,89.7,,,87.3,91.8,14491,25019,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening,POINT (-70.1021635 41.2933918)
2021,MA,Massachusetts,Essex,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Age-adjusted prevalence,3.0,,,2.5,3.5,807074,25009,DISABLT,SELFCARE,AgeAdjPrv,Self-care Disability,POINT (-70.8649085 42.6427082)
2021,MA,Massachusetts,Plymouth,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Age-adjusted prevalence,18.8,,,16.1,21.8,533003,25023,RISKBEH,BINGE,AgeAdjPrv,Binge Drinking,POINT (-70.7419417 41.9871959)
2020,MA,Massachusetts,Norfolk,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,81.8,,,79.7,83.7,724505,25021,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-71.1811102 42.1717377)
2020,MA,Massachusetts,Dukes,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,85.8,,,83.3,88.0,21097,25007,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening,POINT (-70.7014995 41.3809696)
2020,MA,Massachusetts,Hampshire,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Age-adjusted prevalence,43.0,,,36.1,49.5,161572,25015,PREVENT,COREW,AgeAdjPrv,Core preventive services for older women,POINT (-72.6636936 42.3394593)
2020,MA,Massachusetts,Hampden,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,44.4,,,37.5,50.4,462718,25013,PREVENT,COREW,CrdPrv,Core preventive services for older women,POINT (-72.6356476 42.1361975)
2021,MA,Massachusetts,Norfolk,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,8.8,,,7.4,10.3,724505,25021,HLTHSTAT,PHLTH,CrdPrv,Physical Health,POINT (-71.1811102 42.1717377)
2021,MA,Massachusetts,Nantucket,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Age-adjusted prevalence,10.5,,,9.2,11.9,14491,25019,HLTHOUT,CASTHMA,AgeAdjPrv,Current Asthma,POINT (-70.1021635 41.2933918)
2021,MA,Massachusetts,Plymouth,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,12.6,,,10.4,15.1,533003,25023,HLTHSTAT,GHLTH,CrdPrv,General Health,POINT (-70.7419417 41.9871959)
2021,MA,Massachusetts,Nantucket,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,25.1,,,21.4,29.3,14491,25019,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-70.1021635 41.2933918)
2021,MA,Massachusetts,Barnstable,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,35.5,,,31.6,39.7,232411,25001,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-70.1648227 41.7061233)
2021,MA,Massachusetts,Hampshire,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Age-adjusted prevalence,2.8,,,2.3,3.2,161572,25015,DISABLT,SELFCARE,AgeAdjPrv,Self-care Disability,POINT (-72.6636936 42.3394593)
2021,MA,Massachusetts,Plymouth,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,13.3,,,10.1,16.5,533003,25023,RISKBEH,CSMOKING,CrdPrv,Current Smoking,POINT (-70.7419417 41.9871959)
2021,MA,Massachusetts,Essex,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Age-adjusted prevalence,22.1,,,19.1,25.2,807074,25009,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,POINT (-70.8649085 42.6427082)
